TCE ID,TIC ID,Sector Run,Planet Number,ExoMiner Score,ExoMiner Unc. Score,DV mini-report URL,Orbital Period [day],Transit Duration [hour],Transit Epoch [BTJD],Transit Depth [ppm],Planet Radius [Earth Radii],MES,Transit Model SNR,Number of transits observed,Gaia RUWE
219852584-1-S48,219852584,48,1,0.993,0.011,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2022028101454-s0048-s0048-0000000219852584-00580_dvm.pdf),3.197,3.6959999999999997,2609.676,7870.004,14.701,101.092,102.122,7.0,0.954
237928815-1-S1-65,237928815,1-65,1,0.993,0.002,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018206190142-s0001-s0065-0000000237928815-00734_dvm.pdf),8.673,3.0,1356.924,720.465,2.907,18.917,19.624,24.0,0.896
260304800-1-S33,260304800,33,1,0.993,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2020353052510-s0033-s0033-0000000260304800-00430_dvm.pdf),3.441,2.496,2204.851,8994.263,8.923,23.127,31.601,6.0,1.024
238932509-1-S61,238932509,61,1,0.993,0.005,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2023018070040-s0061-s0061-0000000238932509-00699_dvm.pdf),3.493,1.6800000000000002,2965.323,13968.087,11.992,32.268,40.012,6.0,1.167
349410350-1-S64,349410350,64,1,0.993,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2023096143437-s0064-s0064-0000000349410350-00720_dvm.pdf),3.024,2.3760000000000003,3043.487,24907.345,12.525,38.979,60.322,9.0,0.958
367630162-2-S14-55,367630162,14-55,2,0.993,0.002,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0055-0000000367630162-00652_dvm.pdf),15.181,3.3839999999999995,1696.349,649.387,2.047,11.116,11.893,10.0,1.022
300812741-1-S1-65,300812741,1-65,1,0.993,0.002,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018206190142-s0001-s0065-0000000300812741-00734_dvm.pdf),20.226,2.3760000000000003,2037.417,726.612,2.207,12.008,14.204,18.0,1.029
405897415-1-S55,405897415,55,1,0.993,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2022217141447-s0055-s0055-0000000405897415-00651_dvm.pdf),4.639,3.768,2798.843,12214.798,13.369,24.264,38.717,6.0,0.981
260304800-1-S27,260304800,27,1,0.993,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2020187183116-s0027-s0027-0000000260304800-00362_dvm.pdf),3.441,2.496,2039.701,8160.743,8.5,19.145,24.109,8.0,1.024
123357034-1-S55,123357034,55,1,0.993,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2022217141447-s0055-s0055-0000000123357034-00651_dvm.pdf),3.272,1.6320000000000001,2799.941,5639.116,6.236,21.994,25.759,8.0,1.03
219850915-1-S14-19,219850915,14-19,1,0.993,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0019-0000000219850915-00280_dvm.pdf),6.4,2.2800000000000002,1684.957,1042.241,2.406,14.182,14.857,16.0,0.874
459969957-1-S14-19,459969957,14-19,1,0.993,0.002,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0019-0000000459969957-00280_dvm.pdf),19.321,4.295999999999999,1693.042,13364.401,9.191,80.968,84.34,5.0,0.996
307849973-2-S1-65,307849973,1-65,2,0.993,0.002,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018206190142-s0001-s0065-0000000307849973-00734_dvm.pdf),23.542,3.4559999999999995,1548.58,1411.52,2.453,10.872,11.24,10.0,1.01
391904697-1-S1-65,391904697,1-65,1,0.993,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018206190142-s0001-s0065-0000000391904697-00734_dvm.pdf),47.019,6.264,1352.133,1251.853,3.525,18.383,19.66,18.0,0.966
260304800-1-S65,260304800,65,1,0.993,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2023124053436-s0065-s0065-0000000260304800-00727_dvm.pdf),3.441,2.52,3071.881,9085.177,8.968,16.34,20.227,4.0,1.024
298647682-1-S14-55,298647682,14-55,1,0.993,0.002,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0055-0000000298647682-00652_dvm.pdf),20.08,1.1760000000000002,1691.5,1058.952,2.511,20.215,26.557,22.0,1.066
170789802-1-S1-36,170789802,1-36,1,0.993,0.004,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018206190142-s0001-s0036-0000000170789802-00471_dvm.pdf),3.467,0.40800000000000003,1438.012,3657.06,2.114,9.37,12.434,13.0,1.192
149585119-1-S65,149585119,65,1,0.993,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2023124053436-s0065-s0065-0000000149585119-00727_dvm.pdf),2.65,2.664,3071.272,11795.971,13.971,20.222,28.606,9.0,0.945
141527579-1-S1-36,141527579,1-36,1,0.993,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018206190142-s0001-s0036-0000000141527579-00471_dvm.pdf),15.087,2.064,1328.944,1879.929,2.073,18.389,19.508,30.0,1.221
307956397-1-S56,307956397,56,1,0.993,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2022245180045-s0056-s0056-0000000307956397-00661_dvm.pdf),4.15,2.2800000000000002,2827.304,9084.816,7.781,16.456,22.408,6.0,1.127
193336820-1-S56,193336820,56,1,0.993,0.004,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2022245180045-s0056-s0056-0000000193336820-00661_dvm.pdf),5.004,2.064,2829.762,1133.832,2.006,10.594,10.965,5.0,1.018
20318757-1-S36,20318757,36,1,0.993,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2021066093107-s0036-s0036-0000000020318757-00460_dvm.pdf),3.283,1.584,2282.674,1335.052,2.587,11.414,13.038,8.0,1.327
387193925-1-S67,387193925,67,1,0.993,0.002,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2023182031434-s0067-s0067-0000000387193925-00756_dvm.pdf),3.52,3.168,3128.974,13542.806,13.724,24.47,35.753,6.0,0.986
369455629-1-S67,369455629,67,1,0.993,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2023182031434-s0067-s0067-0000000369455629-00756_dvm.pdf),3.377,2.688,3129.279,4791.872,9.674,21.639,28.156,5.0,0.994
154872375-1-S14-55,154872375,14-55,1,0.993,0.002,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0055-0000000154872375-00652_dvm.pdf),8.028,4.4879999999999995,1684.153,5691.893,8.935,161.217,161.591,23.0,1.063
272672133-1-S56,272672133,56,1,0.993,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2022245180045-s0056-s0056-0000000272672133-00661_dvm.pdf),3.494,2.088,2826.37,3806.965,5.756,18.107,18.83,6.0,0.936
219338557-1-S1-36,219338557,1-36,1,0.993,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018206190142-s0001-s0036-0000000219338557-00471_dvm.pdf),8.199,2.232,1327.284,1015.456,2.204,11.551,14.671,6.0,1.014
224596152-1-S14-55,224596152,14-55,1,0.993,0.002,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0055-0000000224596152-00652_dvm.pdf),28.874,4.416,1688.867,601.134,2.702,17.666,18.03,20.0,1.016
53047383-1-S61,53047383,61,1,0.993,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2023018070040-s0061-s0061-0000000053047383-00699_dvm.pdf),2.819,4.176,2963.643,7763.653,8.894,17.989,26.808,8.0,0.969
459969957-1-S14-55,459969957,14-55,1,0.993,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0055-0000000459969957-00652_dvm.pdf),19.32,4.368,1693.042,12999.938,9.245,177.942,181.861,27.0,0.996
356867115-1-S14-55,356867115,14-55,1,0.993,0.002,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0055-0000000356867115-00652_dvm.pdf),6.096,2.3520000000000003,1686.1,1153.464,2.452,28.472,32.336,78.0,0.983
178709444-1-S37,178709444,37,1,0.993,0.004,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2021092173506-s0037-s0037-0000000178709444-00478_dvm.pdf),3.472,1.248,2308.675,32268.063,7.906,22.474,27.79,6.0,1.029
328933398-2-S14-55,328933398,14-55,2,0.993,0.002,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0055-0000000328933398-00652_dvm.pdf),7.006,3.048,1848.116,769.5,2.718,16.6,17.749,23.0,0.96
219698776-1-S14-55,219698776,14-55,1,0.993,0.002,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0055-0000000219698776-00652_dvm.pdf),4.66,0.8879999999999999,1684.882,1709.196,2.067,12.95,15.313,25.0,1.176
141768070-1-S37,141768070,37,1,0.993,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2021092173506-s0037-s0037-0000000141768070-00478_dvm.pdf),2.787,1.8239999999999998,2308.007,11723.561,11.871,29.003,32.567,6.0,1.076
160039081-1-S14-55,160039081,14-55,1,0.993,0.002,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0055-0000000160039081-00652_dvm.pdf),30.2,4.6080000000000005,1752.924,504.854,2.622,21.87,23.39,6.0,0.941
220475245-1-S1-36,220475245,1-36,1,0.993,0.005,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018206190142-s0001-s0036-0000000220475245-00471_dvm.pdf),3.782,2.3760000000000003,1625.081,18674.122,12.219,120.204,163.226,54.0,1.109
289580577-1-S14-55,289580577,14-55,1,0.993,0.002,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0055-0000000289580577-00652_dvm.pdf),5.385,3.168,1684.503,632.245,2.62,21.172,22.97,93.0,0.88
233053554-1-S56,233053554,56,1,0.993,0.002,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2022245180045-s0056-s0056-0000000233053554-00661_dvm.pdf),4.568,3.168,2825.999,17170.437,13.716,35.416,47.687,6.0,1.001
294781547-1-S1-65,294781547,1-65,1,0.993,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018206190142-s0001-s0065-0000000294781547-00734_dvm.pdf),13.774,2.928,1336.632,349.541,1.918,12.889,13.027,44.0,1.084
377293776-1-S14-55,377293776,14-55,1,0.993,0.002,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0055-0000000377293776-00652_dvm.pdf),2.044,1.008,1685.342,465.193,1.092,23.924,26.385,245.0,0.936
224297258-1-S14-50,224297258,14-50,1,0.993,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0050-0000000224297258-00611_dvm.pdf),9.614,3.4319999999999995,1717.482,933.653,3.226,18.388,20.47,14.0,0.891
35009898-1-S62,35009898,62,1,0.993,0.004,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2023043222439-s0062-s0062-0000000035009898-00706_dvm.pdf),1.528,1.2000000000000002,2988.506,3240.496,2.455,12.03,14.309,15.0,1.145
167415965-2-S1-65,167415965,1-65,2,0.993,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018206190142-s0001-s0065-0000000167415965-00734_dvm.pdf),9.696,3.024,1332.48,108.13,0.996,11.649,13.409,71.0,1.066
182405015-1-S62,182405015,62,1,0.993,0.008,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2023043222439-s0062-s0062-0000000182405015-00706_dvm.pdf),3.112,2.52,2991.378,14094.822,14.431,121.008,133.339,8.0,0.793
260304800-1-S13,260304800,13,1,0.993,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019170095531-s0013-s0013-0000000260304800-00223_dvm.pdf),3.441,2.616,1654.355,8946.173,9.152,19.005,23.279,7.0,1.024
272758199-1-S41,272758199,41,1,0.993,0.005,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2021205113501-s0041-s0041-0000000272758199-00511_dvm.pdf),3.661,2.64,2420.848,18747.294,13.325,38.46,57.346,8.0,1.029
251852984-1-S29,251852984,29,1,0.993,0.002,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2020239173514-s0029-s0029-0000000251852984-00382_dvm.pdf),2.772,1.8239999999999998,2090.335,5882.019,5.844,9.449,12.226,8.0,1.013
155898758-1-S49,155898758,49,1,0.993,0.002,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2022057231053-s0049-s0049-0000000155898758-00585_dvm.pdf),4.039,1.32,2638.622,7961.152,7.272,14.288,16.129,4.0,1.018
219015370-1-S49,219015370,49,1,0.993,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2022057231053-s0049-s0049-0000000219015370-00585_dvm.pdf),3.916,3.072,2639.668,3222.033,10.196,18.51,25.496,4.0,0.935
280803917-1-S29,280803917,29,1,0.993,0.002,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2020239173514-s0029-s0029-0000000280803917-00382_dvm.pdf),5.13,2.88,2091.02,9589.629,8.993,23.411,32.949,4.0,0.997
260304800-1-S10,260304800,10,1,0.993,0.004,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019085221934-s0010-s0010-0000000260304800-00446_dvm.pdf),3.441,2.472,1571.782,9002.393,9.125,21.938,25.598,6.0,1.024
229781583-1-S14-23,229781583,14-23,1,0.993,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0023-0000000229781583-00328_dvm.pdf),4.82,1.944,1684.553,1989.412,2.369,19.475,22.824,48.0,1.188
27649847-1-S1-36,27649847,1-36,1,0.993,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018206190142-s0001-s0036-0000000027649847-00471_dvm.pdf),1.543,1.272,1492.717,2183.202,2.041,11.251,13.595,30.0,1.268
365938305-1-S14-23,365938305,14-23,1,0.993,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0023-0000000365938305-00328_dvm.pdf),20.875,4.128,1693.922,699.064,2.679,11.718,12.455,3.0,1.024
28961316-1-S42,28961316,42,1,0.993,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2021233042500-s0042-s0042-0000000028961316-00517_dvm.pdf),3.346,4.128,2448.384,5023.403,13.868,21.296,37.997,6.0,1.006
307956397-1-S40,307956397,40,1,0.993,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2021176033103-s0040-s0040-0000000307956397-00503_dvm.pdf),4.151,2.4240000000000004,2391.463,9551.131,7.502,18.61,24.7,7.0,1.127
234330672-1-S1-36,234330672,1-36,1,0.993,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018206190142-s0001-s0036-0000000234330672-00464_dvm.pdf),3.83,4.272,2039.604,7799.891,11.883,27.466,43.328,12.0,0.971
372207328-1-S14-19,372207328,14-19,1,0.993,0.005,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0019-0000000372207328-00280_dvm.pdf),0.279,0.45599999999999996,1738.863,1029.64,1.019,20.468,23.867,218.0,0.974
153078576-1-S30,153078576,30,1,0.993,0.002,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2020267090513-s0030-s0030-0000000153078576-00394_dvm.pdf),2.703,1.7039999999999997,2116.62,4966.721,3.716,14.177,20.571,9.0,1.134
28961316-1-S42-46,28961316,42-46,1,0.993,0.005,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2021233042500-s0042-s0046-0000000028961316-00550_dvm.pdf),3.346,4.128,2448.383,4986.969,13.682,45.044,72.448,19.0,1.006
302381397-1-S40,302381397,40,1,0.993,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2021176033103-s0040-s0040-0000000302381397-00503_dvm.pdf),2.729,2.4240000000000004,2391.419,10116.138,12.996,28.377,41.804,9.0,1.047
138588540-1-S14-23,138588540,14-23,1,0.993,0.002,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0023-0000000138588540-00328_dvm.pdf),29.903,4.008,1703.395,826.854,2.118,14.713,14.735,3.0,0.962
219015370-1-S14-50,219015370,14-50,1,0.993,0.006,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0050-0000000219015370-00611_dvm.pdf),3.915,2.976,2393.007,3302.67,10.183,49.916,75.074,30.0,0.935
165464482-1-S49,165464482,49,1,0.993,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2022057231053-s0049-s0049-0000000165464482-00585_dvm.pdf),4.335,3.5279999999999996,2640.615,8943.594,14.442,34.203,63.96,5.0,1.077
229650439-1-S14-50,229650439,14-50,1,0.993,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0050-0000000229650439-00611_dvm.pdf),5.14,0.792,1683.626,835.893,2.355,20.301,22.518,81.0,0.841
219860288-1-S14-60,219860288,14-60,1,0.993,0.002,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2019199201929-s0014-s0060-0000000219860288-00692_dvm.pdf),4.266,0.8400000000000001,1713.428,1970.0,1.431,19.065,21.998,133.0,1.382
6663331-1-S67,6663331,67,1,0.993,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2023182031434-s0067-s0067-0000000006663331-00756_dvm.pdf),3.181,2.472,3129.463,16668.443,13.131,21.829,31.44,6.0,1.055
136998882-1-S49,136998882,49,1,0.992,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2022057231053-s0049-s0049-0000000136998882-00585_dvm.pdf),3.34,2.52,2638.708,4934.754,8.494,17.026,20.909,5.0,0.969
302381397-1-S47,302381397,47,1,0.992,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2021365070455-s0047-s0047-0000000302381397-00560_dvm.pdf),2.729,2.496,2582.413,10311.582,13.355,32.052,45.201,9.0,1.047
272758199-1-S50,272758199,50,1,0.992,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2022085182052-s0050-s0050-0000000272758199-00597_dvm.pdf),3.662,2.568,2666.132,17446.805,12.624,32.367,36.293,5.0,1.029
348770361-1-S1-13,348770361,1-13,1,0.992,0.005,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018206190142-s0001-s0013-0000000348770361-00226_dvm.pdf),2.769,4.752000000000001,1627.466,3263.103,5.669,27.961,46.783,17.0,
153951307-1-S41,153951307,41,1,0.992,0.004,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2021205113501-s0041-s0041-0000000153951307-00511_dvm.pdf),3.295,1.6560000000000001,2422.314,1492.483,2.433,10.087,10.778,8.0,1.027
232967440-1-S41,232967440,41,1,0.992,0.002,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2021205113501-s0041-s0041-0000000232967440-00511_dvm.pdf),7.064,2.568,2423.413,7784.988,9.303,68.785,76.047,4.0,0.87
233188747-1-S47,233188747,47,1,0.992,0.004,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2021365070455-s0047-s0047-0000000233188747-00560_dvm.pdf),3.451,3.048,2580.753,14864.028,12.736,36.485,53.98,7.0,0.95
441580526-1-S47,441580526,47,1,0.992,0.004,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2021365070455-s0047-s0047-0000000441580526-00560_dvm.pdf),4.443,3.216,2581.224,11890.61,11.491,30.13,49.342,5.0,1.067
434486077-1-S36,434486077,36,1,0.992,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2021066093107-s0036-s0036-0000000434486077-00460_dvm.pdf),2.228,1.608,2282.76,14965.276,11.182,12.216,12.647,10.0,0.969
12423815-1-S1-36,12423815,1-36,1,0.992,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018206190142-s0001-s0036-0000000012423815-00471_dvm.pdf),2.839,1.56,1356.088,35948.028,11.158,24.523,31.949,16.0,1.112
308073360-1-S42-46,308073360,42-46,1,0.992,0.004,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2021233042500-s0042-s0046-0000000308073360-00550_dvm.pdf),11.89,4.968,2530.159,7065.188,10.878,45.08,52.85,4.0,1.053
165723070-1-S51,165723070,51,1,0.992,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2022113103451-s0051-s0051-0000000165723070-00618_dvm.pdf),1.721,2.208,2693.864,11661.862,10.146,19.568,27.801,11.0,0.867
229581160-1-S47,229581160,47,1,0.992,0.004,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2021365070455-s0047-s0047-0000000229581160-00560_dvm.pdf),3.415,2.472,2580.598,12976.335,12.959,18.107,23.886,6.0,1.083
334482103-1-S42-46,334482103,42-46,1,0.992,0.002,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2021233042500-s0042-s0046-0000000334482103-00550_dvm.pdf),3.726,2.3520000000000003,2501.94,8825.318,11.52,36.183,50.012,18.0,1.032
142105158-1-S1-36,142105158,1-36,1,0.992,0.01,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018206190142-s0001-s0036-0000000142105158-00464_dvm.pdf),2.936,2.232,2038.419,6536.338,6.635,67.843,92.657,70.0,0.949
99097200-1-S47,99097200,47,1,0.992,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2021365070455-s0047-s0047-0000000099097200-00560_dvm.pdf),3.237,3.3120000000000003,2581.725,9895.199,13.62,20.296,27.411,7.0,1.133
119292328-1-S1-36,119292328,1-36,1,0.992,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018206190142-s0001-s0036-0000000119292328-00471_dvm.pdf),7.189,2.952,1471.218,285.258,1.525,10.798,11.709,11.0,1.021
357501308-1-S51,357501308,51,1,0.992,0.004,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2022113103451-s0051-s0051-0000000357501308-00618_dvm.pdf),4.957,2.2560000000000002,2696.86,1283.718,2.26,8.129,11.306,2.0,0.974
232612416-1-S23,232612416,23,1,0.992,0.002,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2020079142120-s0023-s0023-0000000232612416-00326_dvm.pdf),4.36,2.3760000000000003,1931.288,5665.813,7.049,27.957,35.375,5.0,0.973
260304800-1-S1-13,260304800,1-13,1,0.992,0.004,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018206190142-s0001-s0013-0000000260304800-00226_dvm.pdf),3.441,2.496,1544.256,8723.762,8.981,43.719,57.04,34.0,1.024
158978373-1-S1-65,158978373,1-65,1,0.992,0.004,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018206190142-s0001-s0065-0000000158978373-00728_dvm.pdf),13.534,3.5519999999999996,1609.011,2234.855,6.269,37.883,39.805,6.0,1.047
125552076-1-S48,125552076,48,1,0.992,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2022028101454-s0048-s0048-0000000125552076-00580_dvm.pdf),2.044,1.8239999999999998,2609.405,11940.354,13.74,57.927,64.307,11.0,1.016
418343229-1-S40,418343229,40,1,0.992,0.004,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2021176033103-s0040-s0040-0000000418343229-00503_dvm.pdf),0.294,0.6960000000000001,2390.861,676.765,1.011,11.163,12.948,93.0,1.303
297457992-1-S1-65,297457992,1-65,1,0.992,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018206190142-s0001-s0065-0000000297457992-00728_dvm.pdf),2.832,2.904,3043.336,15647.678,19.142,36.337,54.205,19.0,0.898
38510224-1-S1-36,38510224,1-36,1,0.992,0.004,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018206190142-s0001-s0036-0000000038510224-00471_dvm.pdf),18.384,3.936,1329.911,1091.916,2.683,12.645,13.191,18.0,1.039
35652085-1-S1-65,35652085,1-65,1,0.992,0.004,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018206190142-s0001-s0065-0000000035652085-00734_dvm.pdf),2.206,4.128,2989.324,7122.103,18.003,27.727,45.768,22.0,1.01
20318757-1-S1-65,20318757,1-65,1,0.992,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018206190142-s0001-s0065-0000000020318757-00728_dvm.pdf),3.283,1.8479999999999999,2282.672,1383.741,3.032,16.9,20.466,16.0,1.327
114018671-1-S1-65,114018671,1-65,1,0.992,0.004,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2018206190142-s0001-s0065-0000000114018671-00728_dvm.pdf),2.471,2.3520000000000003,2231.125,236.179,1.538,13.173,15.269,19.0,0.95
75878355-1-S40,75878355,40,1,0.992,0.003,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2021176033103-s0040-s0040-0000000075878355-00503_dvm.pdf),9.229,3.024,2398.316,1449.729,3.082,23.361,27.67,3.0,1.056
384888319-1-S43,384888319,43,1,0.992,0.004,[Download](https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:TESS/product/tess2021259155059-s0043-s0043-0000000384888319-00522_dvm.pdf),5.88,2.064,2477.909,1293.245,1.821,10.946,10.492,3.0,1.065
